gauge,depth_in,height_in,width_in (column profile),price_cents,price,weight_kg,load_capacity_kg,type,category
12,36,120,3,223657,2236.57,47.69,14698,selectivo,marco
12,36,120,3,218651,2186.51,46.62,12720,selectivo,marco
12,42,120,3,246362,2463.62,52.53,22099,selectivo,marco
12,42,120,3,235039,2350.39,50.11,22123,selectivo,marco
12,42,120,3,230577,2305.77,49.16,22039,selectivo,marco
12,42,120,3,224551,2245.51,47.88,21264,selectivo,marco
12,42,120,3,219593,2195.93,46.81,20435,selectivo,marco
12,42,120,3,246362,2463.62,52.53,18624,selectivo,marco
12,42,120,3,235584,2355.84,50.23,16685,selectivo,marco
12,42,120,3,230725,2307.25,49.2,14698,selectivo,marco
12,42,120,3,224551,2245.51,47.88,12720,selectivo,marco
14,36,144,3,207701,2077.01,44.29,15695,selectivo,marco
14,36,144,3,200209,2002.09,42.69,15723,selectivo,marco
14,36,144,3,196180,1961.8,41.83,15704,selectivo,marco
14,36,144,3,191674,1916.74,40.87,15157,selectivo,marco
14,36,144,3,187808,1878.08,40.05,14573,selectivo,marco
14,36,144,3,207701,2077.01,44.29,13287,selectivo,marco
14,36,144,3,200032,2000.32,42.65,11908,selectivo,marco
14,36,144,3,196215,1962.15,41.84,10496,selectivo,marco
14,36,144,3,191727,1917.27,40.88,9084,selectivo,marco
14,42,144,3,216360,2163.6,46.13,15695,selectivo,marco
14,42,144,3,205952,2059.52,43.91,15723,selectivo,marco
14,42,144,3,202400,2024,42.96,15704,selectivo,marco
14,42,144,3,197028,1970.28,42,15157,selectivo,marco
14,42,144,3,192558,1925.58,41.06,14573,selectivo,marco
14,42,144,3,216289,2162.89,46.12,13287,selectivo,marco
14,42,144,3,207352,2073.52,43.91,11908,selectivo,marco
14,42,144,3,202515,2025.15,43.18,10496,selectivo,marco
14,42,144,3,197028,1970.28,42.01,9084,selectivo,marco
12,36,144,3,283968,2839.68,60.55,22069,selectivo,marco
12,36,144,3,282009,2820.09,58.4,22096,selectivo,marco
12,36,144,3,268365,2683.65,57.22,22015,selectivo,marco
