height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
5486,914,216,36,3,96,14,10458,62.74,2942.70,selectivo,marco,frame-216in-36in-96in-g14
5486,914,216,36,3,108,14,9045,61.31,2875.38,selectivo,marco,frame-216in-36in-108in-g14
6096,914,240,36,3,36,14,15584,73.8,3461.31,selectivo,marco,frame-240in-36in-36in-g14
6096,914,240,36,3,42,14,15631,71.14,3336.45,selectivo,marco,frame-240in-36in-42in-g14
6096,914,240,36,3,48,14,15618,69.71,3269.31,selectivo,marco,frame-240in-36in-48in-g14
6096,914,240,36,3,54,14,15076,68.11,3194.22,selectivo,marco,frame-240in-36in-54in-g14
6096,914,240,36,3,60,14,14501,66.74,3130.32,selectivo,marco,frame-240in-36in-60in-g14
6096,914,240,36,3,72,14,13223,73.8,3461.31,selectivo,marco,frame-240in-36in-72in-g14
6096,914,240,36,3,84,14,11850,71.08,3333.51,selectivo,marco,frame-240in-36in-84in-g14
6096,914,240,36,3,96,14,10445,69.72,3269.90,selectivo,marco,frame-240in-36in-96in-g14
6096,914,240,36,3,108,14,9031,68.13,3195.10,selectivo,marco,frame-240in-36in-108in-g14
6706,914,264,36,3,36,14,15557,81.19,3807.67,selectivo,marco,frame-264in-36in-36in-g14
6706,914,264,36,3,42,14,15608,78.26,3670.32,selectivo,marco,frame-264in-36in-42in-g14
6706,914,264,36,3,48,14,15596,76.68,3596.46,selectivo,marco,frame-264in-36in-48in-g14
6706,914,264,36,3,54,14,15056,74.92,3513.85,selectivo,marco,frame-264in-36in-54in-g14
6706,914,264,36,3,60,14,14483,73.42,3443.55,selectivo,marco,frame-264in-36in-60in-g14
6706,914,264,36,3,72,14,13208,81.19,3807.67,selectivo,marco,frame-264in-36in-72in-g14
6706,914,264,36,3,84,14,11836,78.19,3667.08,selectivo,marco,frame-264in-36in-84in-g14
6706,914,264,36,3,96,14,10432,76.7,3597.10,selectivo,marco,frame-264in-36in-96in-g14
6706,914,264,36,3,108,14,9018,74.94,3514.82,selectivo,marco,frame-264in-36in-108in-g14
7315,914,288,36,3,36,14,15529,88.56,4153.46,selectivo,marco,frame-288in-36in-36in-g14
7315,914,288,36,3,42,14,15585,85.37,4003.63,selectivo,marco,frame-288in-36in-42in-g14
7315,914,288,36,3,48,14,15575,83.65,3923.07,selectivo,marco,frame-288in-36in-48in-g14
7315,914,288,36,3,54,14,15036,81.73,3832.96,selectivo,marco,frame-288in-36in-54in-g14
7315,914,288,36,3,60,14,14465,80.09,3756.28,selectivo,marco,frame-288in-36in-60in-g14
7315,914,288,36,3,72,14,13192,88.56,4153.46,selectivo,marco,frame-288in-36in-72in-g14
7315,914,288,36,3,84,14,11821,85.29,4000.10,selectivo,marco,frame-288in-36in-84in-g14
7315,914,288,36,3,96,14,10419,83.66,3923.77,selectivo,marco,frame-288in-36in-96in-g14
