height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
9144,1067,360,42,3,84,14,11778,110.22,5169.52,selectivo,marco,frame-360in-42in-84in-g14
9144,1067,360,42,3,96,14,10381,107.22,5028.58,selectivo,marco,frame-360in-42in-96in-g14
9144,1067,360,42,3,108,14,8965,103.9,4873.07,selectivo,marco,frame-360in-42in-108in-g14
9754,1067,384,42,3,36,14,15419,121.72,5708.50,selectivo,marco,frame-384in-42in-36in-g14
9754,1067,384,42,3,42,14,15494,119.12,5586.58,selectivo,marco,frame-384in-42in-42in-g14
9754,1067,384,42,3,48,14,15488,116.28,5453.72,selectivo,marco,frame-384in-42in-48in-g14
9754,1067,384,42,3,54,14,14955,113.18,5308.03,selectivo,marco,frame-384in-42in-54in-g14
9754,1067,384,42,3,60,14,14393,109.72,5145.70,selectivo,marco,frame-384in-42in-60in-g14
9754,1067,384,42,3,72,14,13128,121.72,5708.50,selectivo,marco,frame-384in-42in-72in-g14
9754,1067,384,42,3,84,14,11764,119.12,5586.58,selectivo,marco,frame-384in-42in-84in-g14
9754,1067,384,42,3,96,14,10369,116.3,5454.35,selectivo,marco,frame-384in-42in-96in-g14
9754,1067,384,42,3,108,14,8952,113.18,5308.03,selectivo,marco,frame-384in-42in-108in-g14
10363,1067,408,42,3,36,14,15391,130.43,6117.20,selectivo,marco,frame-408in-42in-36in-g14
10363,1067,408,42,3,42,14,15471,123.7,5801.33,selectivo,marco,frame-408in-42in-42in-g14
10363,1067,408,42,3,48,14,15467,120.86,5668.48,selectivo,marco,frame-408in-42in-48in-g14
10363,1067,408,42,3,54,14,14935,117.76,5522.78,selectivo,marco,frame-408in-42in-54in-g14
10363,1067,408,42,3,60,14,14376,114.3,5360.45,selectivo,marco,frame-408in-42in-60in-g14
10363,1067,408,42,3,72,14,13113,130.43,6117.20,selectivo,marco,frame-408in-42in-72in-g14
10363,1067,408,42,3,84,14,11749,123.7,5801.33,selectivo,marco,frame-408in-42in-84in-g14
10363,1067,408,42,3,96,14,10356,120.88,5669.11,selectivo,marco,frame-408in-42in-96in-g14
10363,1067,408,42,3,108,14,8938,117.76,5522.78,selectivo,marco,frame-408in-42in-108in-g14
10973,1067,432,42,3,36,14,15364,139.15,6526.25,selectivo,marco,frame-432in-42in-36in-g14
10973,1067,432,42,3,42,14,15448,127.37,5973.47,selectivo,marco,frame-432in-42in-42in-g14
10973,1067,432,42,3,48,14,15445,129.94,6094.16,selectivo,marco,frame-432in-42in-48in-g14
10973,1067,432,42,3,54,14,14914,127.03,5957.74,selectivo,marco,frame-432in-42in-54in-g14
10973,1067,432,42,3,60,14,14358,123.77,5805.00,selectivo,marco,frame-432in-42in-60in-g14
10973,1067,432,42,3,72,14,13097,139.15,6526.25,selectivo,marco,frame-432in-42in-72in-g14
10973,1067,432,42,3,84,14,11735,132.59,6218.39,selectivo,marco,frame-432in-42in-84in-g14
10973,1067,432,42,3,96,14,10343,129.95,6094.88,selectivo,marco,frame-432in-42in-96in-g14
10973,1067,432,42,3,108,14,8925,127.03,5957.74,selectivo,marco,frame-432in-42in-108in-g14
11582,1067,456,42,3,36,14,15336,143.73,6741.01,selectivo,marco,frame-456in-42in-36in-g14
11582,1067,456,42,3,42,14,15425,137.17,6433.14,selectivo,marco,frame-456in-42in-42in-g14
11582,1067,456,42,3,48,14,15424,134.52,6308.92,selectivo,marco,frame-456in-42in-48in-g14
11582,1067,456,42,3,54,14,14894,131.61,6172.50,selectivo,marco,frame-456in-42in-54in-g14
11582,1067,456,42,3,60,14,14340,128.35,6019.76,selectivo,marco,frame-456in-42in-60in-g14
11582,1067,456,42,3,72,14,13081,143.73,6741.01,selectivo,marco,frame-456in-42in-72in-g14
11582,1067,456,42,3,84,14,11721,137.17,6433.14,selectivo,marco,frame-456in-42in-84in-g14
11582,1067,456,42,3,96,14,10330,134.53,6309.63,selectivo,marco,frame-456in-42in-96in-g14
11582,1067,456,42,3,108,14,8912,131.61,6172.50,selectivo,marco,frame-456in-42in-108in-g14
2083,914,82,36,3,36,12,22145,34.48,1617.02,selectivo,marco,frame-82in-36in-36in-g12
2083,914,82,36,3,42,12,22162,33.26,1559.66,selectivo,marco,frame-82in-36in-42in-g12
2083,914,82,36,3,48,12,22076,32.58,1528.17,selectivo,marco,frame-82in-36in-48in-g12
2083,914,82,36,3,54,12,21299,31.86,1494.26,selectivo,marco,frame-82in-36in-54in-g12
2083,914,82,36,3,60,12,20467,31.23,1464.47,selectivo,marco,frame-82in-36in-60in-g12
2083,914,82,36,3,72,12,18652,34.48,1617.02,selectivo,marco,frame-82in-36in-72in-g12
2133,914,84,36,3,36,12,22143,35.31,1655.83,selectivo,marco,frame-84in-36in-36in-g12
2133,914,84,36,3,42,12,22160,34.05,1597.10,selectivo,marco,frame-84in-36in-42in-g12
2133,914,84,36,3,48,12,22074,33.37,1564.85,selectivo,marco,frame-84in-36in-48in-g12
2133,914,84,36,3,54,12,21297,32.63,1530.13,selectivo,marco,frame-84in-36in-54in-g12
2133,914,84,36,3,60,12,20465,31.97,1499.63,selectivo,marco,frame-84in-36in-60in-g12
2133,914,84,36,3,72,12,18650,35.31,1655.83,selectivo,marco,frame-84in-36in-72in-g12
2438,914,96,36,3,36,12,22128,40.35,1892.60,selectivo,marco,frame-96in-36in-36in-g12
2438,914,96,36,3,42,12,22147,38.92,1825.47,selectivo,marco,frame-96in-36in-42in-g12
2438,914,96,36,3,48,12,22062,38.14,1788.61,selectivo,marco,frame-96in-36in-48in-g12
2438,914,96,36,3,54,12,21286,37.29,1748.92,selectivo,marco,frame-96in-36in-54in-g12
2438,914,96,36,3,60,12,20455,36.55,1714.06,selectivo,marco,frame-96in-36in-60in-g12
2438,914,96,36,3,72,12,18641,40.35,1892.60,selectivo,marco,frame-96in-36in-72in-g12
2438,914,96,36,3,84,12,16701,38.87,1823.12,selectivo,marco,frame-96in-36in-84in-g12
3048,914,120,36,3,36,12,22099,50.45,2366.14,selectivo,marco,frame-120in-36in-36in-g12
3048,914,120,36,3,42,12,22123,48.66,2282.22,selectivo,marco,frame-120in-36in-42in-g12
3048,914,120,36,3,48,12,22039,47.68,2236.13,selectivo,marco,frame-120in-36in-48in-g12
3048,914,120,36,3,54,12,21264,46.62,2186.51,selectivo,marco,frame-120in-36in-54in-g12
3048,914,120,36,3,60,12,20435,45.69,2142.93,selectivo,marco,frame-120in-36in-60in-g12
3048,914,120,36,3,72,12,18624,50.45,2366.14,selectivo,marco,frame-120in-36in-72in-g12
3048,914,120,36,3,84,12,16685,48.6,2279.27,selectivo,marco,frame-120in-36in-84in-g12
3048,914,120,36,3,96,12,14698,47.69,2236.57,selectivo,marco,frame-120in-36in-96in-g12
3048,914,120,36,3,108,12,12720,46.62,2186.51,selectivo,marco,frame-120in-36in-108in-g12
3658,914,144,36,3,36,12,22069,60.55,2839.68,selectivo,marco,frame-144in-36in-36in-g12
3658,914,144,36,3,42,12,22098,58.4,2738.96,selectivo,marco,frame-144in-36in-42in-g12
3658,914,144,36,3,48,12,22015,57.22,2683.65,selectivo,marco,frame-144in-36in-48in-g12
3658,914,144,36,3,54,12,21242,55.95,2624.10,selectivo,marco,frame-144in-36in-54in-g12
3658,914,144,36,3,60,12,20416,54.84,2571.79,selectivo,marco,frame-144in-36in-60in-g12
3658,914,144,36,3,72,12,18606,60.55,2839.68,selectivo,marco,frame-144in-36in-72in-g12
3658,914,144,36,3,84,12,16669,58.32,2735.42,selectivo,marco,frame-144in-36in-84in-g12
3658,914,144,36,3,96,12,14683,57.23,2684.18,selectivo,marco,frame-144in-36in-96in-g12
3658,914,144,36,3,108,12,12704,55.95,2624.10,selectivo,marco,frame-144in-36in-108in-g12
4267,914,168,36,3,36,12,22040,70.63,3312.44,selectivo,marco,frame-168in-36in-36in-g12
4267,914,168,36,3,42,12,22074,68.12,3194.95,selectivo,marco,frame-168in-36in-42in-g12
4267,914,168,36,3,48,12,21992,66.75,3130.44,selectivo,marco,frame-168in-36in-48in-g12
4267,914,168,36,3,54,12,21219,65.27,3060.97,selectivo,marco,frame-168in-36in-54in-g12
4267,914,168,36,3,60,12,20396,63.96,2999.96,selectivo,marco,frame-168in-36in-60in-g12
4267,914,168,36,3,72,12,18588,70.63,3312.44,selectivo,marco,frame-168in-36in-72in-g12
4267,914,168,36,3,84,12,16652,68.03,3190.83,selectivo,marco,frame-168in-36in-84in-g12
4267,914,168,36,3,96,12,14669,66.76,3131.05,selectivo,marco,frame-168in-36in-96in-g12
4267,914,168,36,3,108,12,12689,65.27,3060.97,selectivo,marco,frame-168in-36in-108in-g12
4877,914,192,36,3,36,12,22011,80.72,3785.98,selectivo,marco,frame-192in-36in-36in-g12
4877,914,192,36,3,42,12,22049,77.86,3651.70,selectivo,marco,frame-192in-36in-42in-g12
4877,914,192,36,3,48,12,21969,76.29,3577.95,selectivo,marco,frame-192in-36in-48in-g12
4877,914,192,36,3,54,12,21197,74.6,3498.56,selectivo,marco,frame-192in-36in-54in-g12
4877,914,192,36,3,60,12,20376,73.11,3428.82,selectivo,marco,frame-192in-36in-60in-g12
4877,914,192,36,3,72,12,18571,80.72,3785.98,selectivo,marco,frame-192in-36in-72in-g12
4877,914,192,36,3,84,12,16636,77.76,3646.98,selectivo,marco,frame-192in-36in-84in-g12
4877,914,192,36,3,96,12,14654,76.3,3578.66,selectivo,marco,frame-192in-36in-96in-g12
4877,914,192,36,3,108,12,12674,74.6,3498.56,selectivo,marco,frame-192in-36in-108in-g12
5486,914,216,36,3,36,12,21981,90.8,4258.75,selectivo,marco,frame-216in-36in-36in-g12
5486,914,216,36,3,42,12,22024,87.58,4107.69,selectivo,marco,frame-216in-36in-42in-g12
5486,914,216,36,3,48,12,21945,85.82,4024.74,selectivo,marco,frame-216in-36in-48in-g12
5486,914,216,36,3,54,12,21175,83.91,3935.43,selectivo,marco,frame-216in-36in-54in-g12
5486,914,216,36,3,60,12,20357,82.24,3856.99,selectivo,marco,frame-216in-36in-60in-g12
5486,914,216,36,3,72,12,18553,90.8,4258.75,selectivo,marco,frame-216in-36in-72in-g12
5486,914,216,36,3,84,12,16620,87.47,4102.39,selectivo,marco,frame-216in-36in-84in-g12
5486,914,216,36,3,96,12,14640,85.83,4025.54,selectivo,marco,frame-216in-36in-96in-g12
5486,914,216,36,3,108,12,12659,83.91,3935.43,selectivo,marco,frame-216in-36in-108in-g12
6096,914,240,36,3,36,12,21952,100.9,4732.29,selectivo,marco,frame-240in-36in-36in-g12
6096,914,240,36,3,42,12,22000,97.32,4564.43,selectivo,marco,frame-240in-36in-42in-g12
6096,914,240,36,3,48,12,21922,95.36,4472.26,selectivo,marco,frame-240in-36in-48in-g12
6096,914,240,36,3,54,12,21153,93.24,4373.02,selectivo,marco,frame-240in-36in-54in-g12
6096,914,240,36,3,60,12,20337,91.38,4285.85,selectivo,marco,frame-240in-36in-60in-g12
6096,914,240,36,3,72,12,18535,100.9,4732.29,selectivo,marco,frame-240in-36in-72in-g12
6096,914,240,36,3,84,12,16604,97.2,4558.54,selectivo,marco,frame-240in-36in-84in-g12
6096,914,240,36,3,96,12,14625,95.38,4473.14,selectivo,marco,frame-240in-36in-96in-g12
6096,914,240,36,3,108,12,12643,93.24,4373.02,selectivo,marco,frame-240in-36in-108in-g12
6706,914,264,36,3,36,12,21922,111,5205.82,selectivo,marco,frame-264in-36in-36in-g12
6706,914,264,36,3,42,12,21975,107.06,5021.17,selectivo,marco,frame-264in-36in-42in-g12
6706,914,264,36,3,48,12,21898,104.9,4919.78,selectivo,marco,frame-264in-36in-48in-g12
6706,914,264,36,3,54,12,21131,102.57,4810.61,selectivo,marco,frame-264in-36in-54in-g12
6706,914,264,36,3,60,12,20317,100.53,4714.72,selectivo,marco,frame-264in-36in-60in-g12
6706,914,264,36,3,72,12,18518,111,5205.82,selectivo,marco,frame-264in-36in-72in-g12
6706,914,264,36,3,84,12,16588,106.92,5014.70,selectivo,marco,frame-264in-36in-84in-g12
6706,914,264,36,3,96,12,14611,104.92,4920.75,selectivo,marco,frame-264in-36in-96in-g12
6706,914,264,36,3,108,12,12628,102.57,4810.61,selectivo,marco,frame-264in-36in-108in-g12
7315,914,288,36,3,36,12,21893,121.08,5678.59,selectivo,marco,frame-288in-36in-36in-g12
7315,914,288,36,3,42,12,21950,116.78,5477.17,selectivo,marco,frame-288in-36in-42in-g12
7315,914,288,36,3,48,12,21875,114.43,5366.56,selectivo,marco,frame-288in-36in-48in-g12
7315,914,288,36,3,54,12,21109,111.89,5247.48,selectivo,marco,frame-288in-36in-54in-g12
7315,914,288,36,3,60,12,20298,109.66,5142.88,selectivo,marco,frame-288in-36in-60in-g12
7315,914,288,36,3,72,12,18500,121.08,5678.59,selectivo,marco,frame-288in-36in-72in-g12
7315,914,288,36,3,84,12,16571,116.63,5470.10,selectivo,marco,frame-288in-36in-84in-g12
7315,914,288,36,3,96,12,14596,114.45,5367.63,selectivo,marco,frame-288in-36in-96in-g12
7315,914,288,36,3,108,12,12613,111.89,5247.48,selectivo,marco,frame-288in-36in-108in-g12
7925,914,312,36,3,36,12,21863,131.18,6152.13,selectivo,marco,frame-312in-36in-36in-g12
7925,914,312,36,3,42,12,21926,126.52,5933.91,selectivo,marco,frame-312in-36in-42in-g12
7925,914,312,36,3,48,12,21851,123.97,5814.08,selectivo,marco,frame-312in-36in-48in-g12
7925,914,312,36,3,54,12,21087,121.22,5685.07,selectivo,marco,frame-312in-36in-54in-g12
7925,914,312,36,3,60,12,20278,118.8,5571.75,selectivo,marco,frame-312in-36in-60in-g12
7925,914,312,36,3,72,12,18482,131.18,6152.13,selectivo,marco,frame-312in-36in-72in-g12
7925,914,312,36,3,84,12,16555,126.36,5926.25,selectivo,marco,frame-312in-36in-84in-g12
7925,914,312,36,3,96,12,14582,123.99,5815.23,selectivo,marco,frame-312in-36in-96in-g12
7925,914,312,36,3,108,12,12598,121.22,5685.07,selectivo,marco,frame-312in-36in-108in-g12
8534,914,336,36,3,36,12,21834,141.26,6624.89,selectivo,marco,frame-336in-36in-36in-g12
8534,914,336,36,3,42,12,21901,136.25,6389.91,selectivo,marco,frame-336in-36in-42in-g12
8534,914,336,36,3,48,12,21828,133.49,6260.87,selectivo,marco,frame-336in-36in-48in-g12
8534,914,336,36,3,54,12,21065,130.53,6121.94,selectivo,marco,frame-336in-36in-54in-g12
8534,914,336,36,3,60,12,20258,127.93,5999.91,selectivo,marco,frame-336in-36in-60in-g12
8534,914,336,36,3,72,12,18465,141.26,6624.89,selectivo,marco,frame-336in-36in-72in-g12
8534,914,336,36,3,84,12,16539,136.07,6381.66,selectivo,marco,frame-336in-36in-84in-g12
8534,914,336,36,3,96,12,14567,133.52,6262.11,selectivo,marco,frame-336in-36in-96in-g12
8534,914,336,36,3,108,12,12582,130.53,6121.94,selectivo,marco,frame-336in-36in-108in-g12
9144,914,360,36,3,36,12,21805,151.35,7098.43,selectivo,marco,frame-360in-36in-36in-g12
9144,914,360,36,3,42,12,21876,145.98,6846.65,selectivo,marco,frame-360in-36in-42in-g12
9144,914,360,36,3,48,12,21805,143.04,6708.39,selectivo,marco,frame-360in-36in-48in-g12
9144,914,360,36,3,54,12,21043,139.86,6559.53,selectivo,marco,frame-360in-36in-54in-g12
9144,914,360,36,3,60,12,20238,137.07,6428.78,selectivo,marco,frame-360in-36in-60in-g12
9144,914,360,36,3,72,12,18447,151.35,7098.43,selectivo,marco,frame-360in-36in-72in-g12
9144,914,360,36,3,84,12,16523,145.8,6837.81,selectivo,marco,frame-360in-36in-84in-g12
9144,914,360,36,3,96,12,14553,143.06,6709.71,selectivo,marco,frame-360in-36in-96in-g12
9144,914,360,36,3,108,12,12567,139.86,6559.53,selectivo,marco,frame-360in-36in-108in-g12
9754,914,384,36,3,36,12,21775,161.45,7571.97,selectivo,marco,frame-384in-36in-36in-g12
9754,914,384,36,3,42,12,21852,155.72,7303.39,selectivo,marco,frame-384in-36in-42in-g12
9754,914,384,36,3,48,12,21781,152.58,7155.91,selectivo,marco,frame-384in-36in-48in-g12
9754,914,384,36,3,54,12,21021,149.19,6997.12,selectivo,marco,frame-384in-36in-54in-g12
9754,914,384,36,3,60,12,20219,146.22,6857.65,selectivo,marco,frame-384in-36in-60in-g12
9754,914,384,36,3,72,12,18429,161.45,7571.97,selectivo,marco,frame-384in-36in-72in-g12
9754,914,384,36,3,84,12,16506,155.52,7293.97,selectivo,marco,frame-384in-36in-84in-g12
9754,914,384,36,3,96,12,14538,152.61,7157.32,selectivo,marco,frame-384in-36in-96in-g12
9754,914,384,36,3,108,12,12552,149.19,6997.12,selectivo,marco,frame-384in-36in-108in-g12
10363,914,408,36,3,36,12,21746,171.53,8044.73,selectivo,marco,frame-408in-36in-36in-g12
10363,914,408,36,3,42,12,21827,165.45,7759.38,selectivo,marco,frame-408in-36in-42in-g12
10363,914,408,36,3,48,12,21758,162.1,7602.69,selectivo,marco,frame-408in-36in-48in-g12
10363,914,408,36,3,54,12,20999,158.51,7433.99,selectivo,marco,frame-408in-36in-54in-g12
10363,914,408,36,3,60,12,20199,155.35,7285.81,selectivo,marco,frame-408in-36in-60in-g12
10363,914,408,36,3,72,12,18412,171.53,8044.73,selectivo,marco,frame-408in-36in-72in-g12
10363,914,408,36,3,84,12,16490,165.23,7749.37,selectivo,marco,frame-408in-36in-84in-g12
10363,914,408,36,3,96,12,14524,162.14,7604.20,selectivo,marco,frame-408in-36in-96in-g12
10363,914,408,36,3,108,12,12536,158.51,7433.99,selectivo,marco,frame-408in-36in-108in-g12
10973,914,432,36,3,36,12,21716,181.63,8518.27,selectivo,marco,frame-432in-36in-36in-g12
10973,914,432,36,3,42,12,21802,175.18,8216.13,selectivo,marco,frame-432in-36in-42in-g12
10973,914,432,36,3,48,12,21734,171.65,8050.21,selectivo,marco,frame-432in-36in-48in-g12
10973,914,432,36,3,54,12,20977,167.84,7871.58,selectivo,marco,frame-432in-36in-54in-g12
10973,914,432,36,3,60,12,20179,164.49,7714.68,selectivo,marco,frame-432in-36in-60in-g12
10973,914,432,36,3,72,12,18394,181.63,8518.27,selectivo,marco,frame-432in-36in-72in-g12
10973,914,432,36,3,84,12,16474,174.96,8205.53,selectivo,marco,frame-432in-36in-84in-g12
10973,914,432,36,3,96,12,14509,171.68,8051.80,selectivo,marco,frame-432in-36in-96in-g12
10973,914,432,36,3,108,12,12521,167.84,7871.58,selectivo,marco,frame-432in-36in-108in-g12
11582,914,456,36,3,36,12,21687,191.71,8991.03,selectivo,marco,frame-456in-36in-36in-g12
11582,914,456,36,3,42,12,21778,184.91,8672.12,selectivo,marco,frame-456in-36in-42in-g12
11582,914,456,36,3,48,12,21711,181.17,8497.00,selectivo,marco,frame-456in-36in-48in-g12
11582,914,456,36,3,54,12,20955,177.15,8308.45,selectivo,marco,frame-456in-36in-54in-g12
11582,914,456,36,3,60,12,20160,173.62,8142.84,selectivo,marco,frame-456in-36in-60in-g12
11582,914,456,36,3,72,12,18376,191.71,8991.03,selectivo,marco,frame-456in-36in-72in-g12
11582,914,456,36,3,84,12,16458,184.67,8660.93,selectivo,marco,frame-456in-36in-84in-g12
11582,914,456,36,3,96,12,14495,181.21,8498.68,selectivo,marco,frame-456in-36in-96in-g12
11582,914,456,36,3,108,12,12506,177.15,8308.45,selectivo,marco,frame-456in-36in-108in-g12
2083,1067,82,42,3,36,12,22145,35.9,1683.63,selectivo,marco,frame-82in-42in-36in-g12
2083,1067,82,42,3,42,12,22162,34.25,1606.25,selectivo,marco,frame-82in-42in-42in-g12
2083,1067,82,42,3,48,12,22076,33.6,1575.76,selectivo,marco,frame-82in-42in-48in-g12
2083,1067,82,42,3,54,12,21299,32.72,1534.61,selectivo,marco,frame-82in-42in-54in-g12
2083,1067,82,42,3,60,12,20467,31.99,1500.20,selectivo,marco,frame-82in-42in-60in-g12
2083,1067,82,42,3,72,12,18652,35.9,1683.63,selectivo,marco,frame-82in-42in-72in-g12
2133,1067,84,42,3,36,12,22143,36.76,1724.05,selectivo,marco,frame-84in-42in-36in-g12
2133,1067,84,42,3,42,12,22160,35.07,1644.81,selectivo,marco,frame-84in-42in-42in-g12
2133,1067,84,42,3,48,12,22074,34.4,1613.59,selectivo,marco,frame-84in-42in-48in-g12
2133,1067,84,42,3,54,12,21297,33.51,1571.45,selectivo,marco,frame-84in-42in-54in-g12
2133,1067,84,42,3,60,12,20465,32.75,1536.21,selectivo,marco,frame-84in-42in-60in-g12
2133,1067,84,42,3,72,12,18650,36.76,1724.05,selectivo,marco,frame-84in-42in-72in-g12
2438,1067,96,42,3,36,12,22128,42.02,1970.57,selectivo,marco,frame-96in-42in-36in-g12
2438,1067,96,42,3,42,12,22147,40.09,1880.00,selectivo,marco,frame-96in-42in-42in-g12
2438,1067,96,42,3,48,12,22062,39.32,1844.32,selectivo,marco,frame-96in-42in-48in-g12
2438,1067,96,42,3,54,12,21286,38.3,1796.15,selectivo,marco,frame-96in-42in-54in-g12
2438,1067,96,42,3,60,12,20455,37.44,1755.87,selectivo,marco,frame-96in-42in-60in-g12
2438,1067,96,42,3,72,12,18641,42.02,1970.57,selectivo,marco,frame-96in-42in-72in-g12
2438,1067,96,42,3,84,12,16701,40.18,1884.36,selectivo,marco,frame-96in-42in-84in-g12
3048,1067,120,42,3,36,12,22099,52.53,2463.62,selectivo,marco,frame-120in-42in-36in-g12
3048,1067,120,42,3,42,12,22123,50.11,2350.39,selectivo,marco,frame-120in-42in-42in-g12
3048,1067,120,42,3,48,12,22039,49.16,2305.77,selectivo,marco,frame-120in-42in-48in-g12
3048,1067,120,42,3,54,12,21264,47.88,2245.55,selectivo,marco,frame-120in-42in-54in-g12
3048,1067,120,42,3,60,12,20435,46.81,2195.20,selectivo,marco,frame-120in-42in-60in-g12
3048,1067,120,42,3,72,12,18624,52.53,2463.62,selectivo,marco,frame-120in-42in-72in-g12
3048,1067,120,42,3,84,12,16685,50.23,2355.84,selectivo,marco,frame-120in-42in-84in-g12
3048,1067,120,42,3,96,12,14698,49.2,2307.25,selectivo,marco,frame-120in-42in-96in-g12
3048,1067,120,42,3,108,12,12720,47.88,2245.55,selectivo,marco,frame-120in-42in-108in-g12
3658,1067,144,42,3,36,12,22069,63.04,2956.66,selectivo,marco,frame-144in-42in-36in-g12
3658,1067,144,42,3,42,12,22098,60.14,2820.77,selectivo,marco,frame-144in-42in-42in-g12
3658,1067,144,42,3,48,12,22015,59,2767.23,selectivo,marco,frame-144in-42in-48in-g12
3658,1067,144,42,3,54,12,21242,57.46,2694.96,selectivo,marco,frame-144in-42in-54in-g12
3658,1067,144,42,3,60,12,20416,56.17,2634.52,selectivo,marco,frame-144in-42in-60in-g12
3658,1067,144,42,3,72,12,18606,63.04,2956.66,selectivo,marco,frame-144in-42in-72in-g12
3658,1067,144,42,3,84,12,16669,60.28,2827.31,selectivo,marco,frame-144in-42in-84in-g12
3658,1067,144,42,3,96,12,14683,59.04,2769.00,selectivo,marco,frame-144in-42in-96in-g12
3658,1067,144,42,3,108,12,12704,57.46,2694.96,selectivo,marco,frame-144in-42in-108in-g12
4267,1067,168,42,3,36,12,22040,73.54,3448.90,selectivo,marco,frame-168in-42in-36in-g12
4267,1067,168,42,3,42,12,22074,70.16,3290.39,selectivo,marco,frame-168in-42in-42in-g12
4267,1067,168,42,3,48,12,21992,68.83,3227.93,selectivo,marco,frame-168in-42in-48in-g12
4267,1067,168,42,3,54,12,21219,67.03,3143.63,selectivo,marco,frame-168in-42in-54in-g12
4267,1067,168,42,3,60,12,20396,65.53,3073.13,selectivo,marco,frame-168in-42in-60in-g12
4267,1067,168,42,3,72,12,18588,73.54,3448.90,selectivo,marco,frame-168in-42in-72in-g12
4267,1067,168,42,3,84,12,16652,70.32,3298.02,selectivo,marco,frame-168in-42in-84in-g12
4267,1067,168,42,3,96,12,14669,68.87,3229.99,selectivo,marco,frame-168in-42in-96in-g12
4267,1067,168,42,3,108,12,12689,67.03,3143.63,selectivo,marco,frame-168in-42in-108in-g12
4877,1067,192,42,3,36,12,22011,84.05,3941.95,selectivo,marco,frame-192in-42in-36in-g12
4877,1067,192,42,3,42,12,22049,80.19,3760.77,selectivo,marco,frame-192in-42in-42in-g12
4877,1067,192,42,3,48,12,21969,78.67,3689.39,selectivo,marco,frame-192in-42in-48in-g12
4877,1067,192,42,3,54,12,21197,76.61,3593.03,selectivo,marco,frame-192in-42in-54in-g12
4877,1067,192,42,3,60,12,20376,74.89,3512.46,selectivo,marco,frame-192in-42in-60in-g12
4877,1067,192,42,3,72,12,18571,84.05,3941.95,selectivo,marco,frame-192in-42in-72in-g12
4877,1067,192,42,3,84,12,16636,80.37,3769.49,selectivo,marco,frame-192in-42in-84in-g12
4877,1067,192,42,3,96,12,14654,78.72,3691.75,selectivo,marco,frame-192in-42in-96in-g12
4877,1067,192,42,3,108,12,12674,76.61,3593.03,selectivo,marco,frame-192in-42in-108in-g12
5486,1067,216,42,3,36,12,21981,94.55,4434.18,selectivo,marco,frame-216in-42in-36in-g12
5486,1067,216,42,3,42,12,22024,90.2,4230.39,selectivo,marco,frame-216in-42in-42in-g12
5486,1067,216,42,3,48,12,21945,88.49,4150.09,selectivo,marco,frame-216in-42in-48in-g12
5486,1067,216,42,3,54,12,21175,86.18,4041.70,selectivo,marco,frame-216in-42in-54in-g12
5486,1067,216,42,3,60,12,20357,84.24,3951.07,selectivo,marco,frame-216in-42in-60in-g12
5486,1067,216,42,3,72,12,18553,94.55,4434.18,selectivo,marco,frame-216in-42in-72in-g12
5486,1067,216,42,3,84,12,16620,90.41,4240.20,selectivo,marco,frame-216in-42in-84in-g12
5486,1067,216,42,3,96,12,14640,88.54,4152.74,selectivo,marco,frame-216in-42in-96in-g12
5486,1067,216,42,3,108,12,12659,86.18,4041.70,selectivo,marco,frame-216in-42in-108in-g12
6096,1067,240,42,3,36,12,21952,105.06,4927.23,selectivo,marco,frame-240in-42in-36in-g12
6096,1067,240,42,3,42,12,22000,100.23,4700.78,selectivo,marco,frame-240in-42in-42in-g12
6096,1067,240,42,3,48,12,21922,98.33,4611.55,selectivo,marco,frame-240in-42in-48in-g12
6096,1067,240,42,3,54,12,21153,95.76,4491.11,selectivo,marco,frame-240in-42in-54in-g12
6096,1067,240,42,3,60,12,20337,93.61,4390.39,selectivo,marco,frame-240in-42in-60in-g12
6096,1067,240,42,3,72,12,18535,105.06,4927.23,selectivo,marco,frame-240in-42in-72in-g12
6096,1067,240,42,3,84,12,16604,100.46,4711.67,selectivo,marco,frame-240in-42in-84in-g12
6096,1067,240,42,3,96,12,14625,98.39,4614.49,selectivo,marco,frame-240in-42in-96in-g12
6096,1067,240,42,3,108,12,12643,95.76,4491.11,selectivo,marco,frame-240in-42in-108in-g12
6706,1067,264,42,3,36,12,21922,115.57,5420.28,selectivo,marco,frame-264in-42in-36in-g12
6706,1067,264,42,3,42,12,21975,110.26,5171.16,selectivo,marco,frame-264in-42in-42in-g12
6706,1067,264,42,3,48,12,21898,108.17,5073.01,selectivo,marco,frame-264in-42in-48in-g12
6706,1067,264,42,3,54,12,21131,105.34,4940.51,selectivo,marco,frame-264in-42in-54in-g12
6706,1067,264,42,3,60,12,20317,102.98,4829.72,selectivo,marco,frame-264in-42in-60in-g12
6706,1067,264,42,3,72,12,18518,115.57,5420.28,selectivo,marco,frame-264in-42in-72in-g12
6706,1067,264,42,3,84,12,16588,110.51,5183.15,selectivo,marco,frame-264in-42in-84in-g12
6706,1067,264,42,3,96,12,14611,108.24,5076.25,selectivo,marco,frame-264in-42in-96in-g12
6706,1067,264,42,3,108,12,12628,105.34,4940.51,selectivo,marco,frame-264in-42in-108in-g12
7315,1067,288,42,3,36,12,21893,126.07,5912.51,selectivo,marco,frame-288in-42in-36in-g12
